FileName,LocationX,LocationY,LocationZ,RotationRoll,RotationPitch,RotationYaw,GazeHitX,GazeHitY,GazeHitZ,GazeConfidence,Frame,Timestamp,RoomX_m,RoomY_m
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16,1.001259,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17,1.013141,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17,1.028032,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18,1.041673,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18,1.055611,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19,1.070993,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19,1.084232,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19,1.096700,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20,1.111696,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20,1.125537,0.0000,0.0000
BiancaGolden_CircleTurns,-200.0000,0.0000,30.0000,0.0000,0.0000,0.0000,0.1700,0.8284,-0.5337,0.9980,21,1.140378,0.0000,0.0000
BiancaGolden_CircleTurns,-300.3885,-33.1928,194.9082,-2.8988,-22.2110,85.6031,0.1597,0.8267,-0.5395,0.9980,21,1.159431,-1.0039,-0.3319
BiancaGolden_CircleTurns,-300.9812,-33.9060,195.0637,-2.8908,-22.5264,86.2845,0.1395,0.8259,-0.5463,0.9980,22,1.168994,-1.0098,-0.3391
BiancaGolden_CircleTurns,-302.1039,-35.2854,195.3570,-3.1005,-22.9648,87.6217,0.1347,0.8357,-0.5324,0.9980,22,1.183197,-1.0210,-0.3529
BiancaGolden_CircleTurns,-302.5026,-35.8349,195.4479,-3.2642,-22.0231,87.9403,0.1188,0.8409,-0.5280,0.9980,23,1.211986,-1.0250,-0.3583
BiancaGolden_CircleTurns,-303.7722,-37.8724,195.7052,-3.0715,-21.7149,89.0720,0.1060,0.8413,-0.5301,0.9980,24,1.239487,-1.0377,-0.3787
BiancaGolden_CircleTurns,-304.5912,-39.3104,195.7813,-2.9292,-21.8714,89.9730,0.0886,0.8435,-0.5298,0.9980,24,1.268272,-1.0459,-0.3931
BiancaGolden_CircleTurns,-305.3571,-40.6424,195.9040,-3.2966,-21.8129,91.0777,0.0687,0.8457,-0.5292,0.9980,25,1.296338,-1.0536,-0.4064
